bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
PCH PPU 078,Artists and Agents,Artistes et agents artistiques,PCH PPU 078,PCH PPU 078,"This bank describes information related to artist submissions for Capital Experience events. Personal information may include name, contact information and biographical information.","Ce fichier décrit les renseignements liés aux propositions d'artistes pour les événements de l'Expérience de la capitale. Les renseignements personnels peuvent comprendre le nom, les coordonnées et les renseignements biographiques.",Artists and agents.,Artistes et agents artistiques.,"For awarded contracts, refer to Standard Personal Information Bank Professional Services Contracts PSU 912. Ended March 2014.","Pour les marchés attribués, voir le fichier de renseignements personnels ordinaire Marchés de services professionnels POU 912. Terminé en mars 2014.",,,"Personal information was used to manage the submission process, which included the request for and receipt of submissions and the selection of artists.","Les renseignements personnels étaient utilisés pour gérer le processus de proposition, qui comprenait la demande et la réception des propositions et la sélection des artistes.","Information was used to maintain an inventory of potential artists. Information may have been used for internal reporting, research, planning, audit and evaluation purposes.","Les renseignements personnels étaient utilisés pour tenir à jour un inventaire d'artistes éventuels. Les renseignements pouvaient également être utilisés à des fins de recherche, de planification, d'audit et d'évaluation.",Records are kept for two years or until superseded and then destroyed.,Les dossiers sont conservés pour une période de deux ans ou jusqu'à ce qu'ils soient remplacés et ensuite détruits.,05/004,05/004,PCH PAC 050,PCH PAC 050,,,20140068,20140068
PCH PPU 070,Volunteer Centre,Centre des bénévoles,PCH PPU 070,PCH PPU 070,"This bank describes information related to volunteer activities registration for Capital Experience events. Personal information may include name, contact information, biographical information, citizenship status, date of birth, gender, language, medical information and signature.","Ce fichier décrit les renseignements liés à l'inscription aux activités de bénévolat lors des événements de l'Expérience de la capitale. Les renseignements personnels peuvent comprendre le nom, les coordonnées, les renseignements biographiques, le statut de citoyenneté, la date de naissance, le sexe, la langue, les renseignements médicaux et la signature.",General public.,Grand public.,,,,,"Personal information is used to manage the volunteer registration process, which includes the request for and receipt of registrations and the selection of volunteers.","Les renseignements personnels sont utilisés pour gérer le processus d'inscription, qui comprend la demande et la réception des inscriptions et la sélection des bénévoles.",Information is used to maintain an inventory of potential volunteers. Information may also be used to disseminate information about Capital Experience events.,Les renseignements personnels sont utilisés pour tenir à jour un inventaire de bénévoles éventuels. Les renseignements peuvent être utilisés pour disséminer l'information sur les événements de l'Expérience de la capitale.,Records are kept for two years after a volunteer leaves and then destroyed.,Les dossiers sont conservés pendant deux ans et ensuite détruits.,05/004,05/004,PCH PAC 050,PCH PAC 050,,,20140069,20140069
PCH PPU 027,Canada Day Challenge,Défi de la fête du Canada,PCH PPU 027,PCH PPU 027,"This bank describes information that was related to the Canada Day Challenge, an annual drawing, photography and writing contest for young Canadians that was terminated after the 2017 edition. Personal information may include names of contestants, subjects, parents, legal guardians, and jurors, photographs of winners and finalists, phone numbers, email addresses, postal addresses, language, education information, financial information and signature.","Ce fichier décrit les renseignements concernant le Défi de la Fête du Canada, un concours annuel de dessin, de photographie et d'écriture qui s'adressait aux jeunes Canadiennes et Canadiens et qui a pris fin après l'édition de 2017. Les renseignements personnels peuvent inclure les noms des concurrents, des parents, des tuteurs légaux et des jurés, les photographies des gagnants et des finalistes, les numéros de téléphone, les adresses courriel et adresses postales, la langue, des renseignements relatifs à l'éducation et aux finances, et les signatures.","Canadian youth between the ages of 5 to 18 years of age, as well as parents / legal guardians.","Jeunes Canadiennes et Canadiens âgés de 5 à 18 ans, et parents/tuteurs légaux.",This activity has been discontinued. The last Canada Day Challenge occurred in 2017.,Cette activité a été discontinuée. La dernière édition du Défi de la fête du Canada a eu lieu en 2017.,,,"The personal information was collected to administer the contest, to disburse prizes to the winners and finalists, to coordinate travel and accommodation arrangements for the winners and finalists and to promote the contest. The personal information was collected pursuant to paragraph 4(1) of the [Department of Canadian Heritage Act](https://laws-lois.justice.gc.ca/eng/acts/C-17.3/FullText.html).","Les renseignements personnels étaient recueillis pour gérer le concours, remettre les prix aux gagnants et aux finalistes, coordonner les préparatifs de voyage et d'hébergement des gagnants et des finalistes, et faire la promotion du concours. Les renseignements personnels étaient recueillis conformément au paragraphe 4(1) de la [Loi sur le ministère du Patrimoine canadien](https://laws-lois.justice.gc.ca/fra/lois/c-17.3/TexteComplet.html).","Some information of the winners and finalists may have been shared with Canada Post Corporation, Canadian Museum of History, National Film Board, Office of the Secretary of Governor General/Rideau Hall, Parks Canada, Encounters with Canada, Trans Canada Trail, Royal Canadian Mounted Police and the Royal Canadian Mint for coordinating attendance at Canada Day ceremonies and festivities; may have been used for commemorating and promoting the Canada Day Challenge contest; and may have been used for coordinating travel and accommodation arrangements.","Certains renseignements concernant les gagnants et les finalistes ont pu être communiqués aux organismes suivants : Société canadienne des postes, Musée canadien de l'histoire, Office national du film, Bureau du secrétaire du gouverneur général/Rideau Hall, Parcs Canada, Rencontres du Canada, Sentier transcanadien, Gendarmerie royale du Canada et Monnaie royale canadienne, aux fins de coordination de la présence aux cérémonies et aux festivités de la Fête du Canada, et ont pu être utilisés pour commémorer et promouvoir le Défi de la Fête du Canada, et pour coordonner les préparatifs de voyage et d'hébergement.",Records are retained for 5 years by PCH and then destroyed. Financial records are retained for 7 years and then destroyed.,"PCH conserve les documents pendant cinq ans, puis les détruira. Les documents financiers sont conservés pendant sept ans, puis ils sont détruits.","97/032, 99/044 (pertaining to financial records)","97/032, 99/044 (documents financiers)",,,,,Pending,En cours
PCH PPU 220,Athlete Assistance Program,Programmes d'aide aux athlètes,PCH PPU 220,PCH PPU 220,"Sport and physical activity play an important role in the health, social, linguistic, economic, and cultural diversity of Canadians. The Athlete Assistance Program (AAP) is a federal grant program that provides direct financial assistance to high-performance athletes in Canada. This includes living and training allowances, and tuition and supplementary support in specific situations. The AAP is one of three Sport Canada programs administered by the Department’s Sport Canada branch to support the development of Canadian athletes and the improvement of Canada’s competitiveness in international sporting competitions. In order to process an application for funding under the AAP, PCH collects, uses and shares personal information from eligible athletes. Personal information is collected pursuant to paragraph 5(j) of the federal Physical Activity and Sport Act. Personal information collected may include: First and last name; Contact information (home address, e-mail, telephone number); Date of birth; Place of birth; Sex; Gender (optional); Residency status and/or proof of Canadian citizenship; Number of dependents (for applicants seeking dependent support); Education information, such as grade level (for applicants seeking tuition support); Information about other scholarships; Photo or likeness (optional); Medical and/or fitness information (to confirm a nomination for an injury card); Results of alleged and committed doping violations; Demographic information (optional); Primary training location and Canadian Sport Centre/Institute; Sport performance results and other supporting application information; Banking information (for payment and direct deposit); Service language preference; and Consent and signature. For eligible athletes under the age of majority, PCH may collect the following information from parents, legal guardians, and/or coaches: First and last name; Contact information (address, e-mail, telephone number); Signature.","Le sport et l'activité physique jouent un rôle important dans la santé et la diversité sociale, linguistique, économique et culturelle des Canadiens. Le Programme d'aide aux athlètes (PAA) est un programme fédéral de subventions qui offre une aide financière directe aux athlètes de haut niveau au Canada. Cette aide comprend des allocations de subsistance et d'entraînement, ainsi que des frais de scolarité et un soutien supplémentaire dans des situations particulières. Le PAA est l'un des trois programmes de Sport Canada administrés par la Direction générale de Sport Canada du Ministère pour soutenir le développement des athlètes canadiens et l'amélioration de la compétitivité du Canada dans les compétitions sportives internationales. Afin de traiter une demande de financement dans le cadre du PAA, PCH recueille, utilise et partage les renseignements personnels des athlètes admissibles. Les renseignements personnels sont recueillis conformément à l'alinéa 5(j) de la Loi fédérale sur l'activité physique et le sport. Les renseignements personnels recueillis peuvent comprendre le prénom et le nom de famille; les coordonnées (adresse personnelle, courriel, numéro de téléphone); la date de naissance; le lieu de naissance; le sexe; le genre (facultatif); le statut de résidence et/ou une preuve de citoyenneté canadienne; le nombre de personnes à charge (pour les candidats demandant une aide pour les personnes à charge); des renseignements sur l'éducation, comme le niveau scolaire (pour les candidats demandant une aide pour les frais de scolarité); des renseignements sur d'autres bourses d'études; une photo ou une image (facultatif); renseignements médicaux et/ou sur la condition physique (pour confirmer une nomination pour un brevet de blessure); résultats des violations de dopage présumées et commises; renseignements démographiques (facultatif); lieu d'entraînement principal et Centre/Institut canadien du sport; résultats de performance sportive et autres renseignements à l'appui de la demande; renseignements bancaires (pour le paiement et le dépôt direct); préférence de langue de service; et Consentement et signature. Pour les athlètes admissibles n'ayant pas atteint l'âge de la majorité, PCH peut recueillir les informations suivantes auprès des parents, des tuteurs légaux et/ou des entraîneurs : Prénom et nom; coordonnées (adresse, courriel, numéro de téléphone); signature.","Information described in this bank relates to eligible athletes. An ‘eligible athlete’ is an applicant athlete who has met all requirements of the AAP, as well as the published carding criteria of their National Sports Organization (NSO). Only the nominations of eligible athletes are considered by Sport Canada for carding. Irregular nominations, that is the nomination of an applicant athlete who has not met the requirements of the AAP or the approved NSO, are returned. Personal information received by PCH is not retained by PCH in such instances.","Les informations décrites dans cette banque concernent les athlètes admissibles. Un athlète admissible est un athlète candidat qui a satisfait à toutes les exigences du PAA, ainsi qu'aux critères d'octroi des brevets publiés par son organisme national de sport (ONS). Seules les nominations d'athlètes admissibles sont prises en compte par Sport Canada pour l'octroi des brevets. Les candidatures irrégulières, c'est-à-dire celles d'un athlète candidat qui n'a pas satisfait aux exigences du PAA ou de l'ONS approuvé, sont retournées. Les renseignements personnels reçus par PCH ne sont pas conservés par PCH dans de tels cas.",,,,,"Information described in this bank is used to determine an applicant’s eligibility for AAP funding, and to administer and manage grants and contributions. Information about parents, legal guardians or coaches is used for consent, emergency contact and non-administrative purposes only.","Les renseignements décrits dans cette banque sont utilisés pour déterminer l'admissibilité d'un demandeur au financement du PAA, et pour administrer et gérer les subventions et les contributions. Les renseignements sur les parents, les tuteurs légaux ou les entraîneurs sont utilisés uniquement à des fins de consentement, de contact d'urgence et à des fins non administratives.","Personal information from applications is not shared outside Sport Canada, except with the express consent of the individual to whom the information belongs, or as provided in subsection 8(2) of the Privacy Act.Information about eligible athletes may be used for program management purposes, and for purposes of program planning, evaluation, research and statistics. The information may also be used for policy purposes and internal audits. Proactive disclosure by PCH of the financial support provided to the athlete by the Athlete Assistance Program is posted annually on the Canadian Heritage website. Confirmation of an athlete’s funding under the AAP, along with the athlete’s contact information, may be shared with the athlete’s Member of Parliament (MP) for the purpose of recognizing and promoting achievements of AAP supported athletes in the MP’s constituency. Confirmation of athlete funding and mailing lists may also be shared with approved Canadian, provincial and territorial sport organizations, such as the Canadian Olympic Committee, the Canadian Paralympic Committee, Canadian Sport Centres and Institutes, and other sport organizations.","Les renseignements personnels provenant des demandes ne sont pas communiqués à l'extérieur de Sport Canada, sauf avec le consentement exprès de la personne à qui appartiennent ces renseignements, ou conformément au paragraphe 8(2) de la Loi sur la protection des renseignements personnels. Les renseignements sur les athlètes admissibles peuvent être utilisés à des fins de gestion des programmes, ainsi qu'à des fins de planification, d'évaluation, de recherche et de statistiques. Ces renseignements peuvent également être utilisés à des fins de politique et de vérification interne. La divulgation proactive par PCH du soutien financier fourni à l'athlète par le Programme d'aide aux athlètes est affichée chaque année sur le site Web de Patrimoine canadien. La confirmation du financement d'un athlète dans le cadre du PAA, ainsi que les coordonnées de l'athlète, peuvent être partagées avec le député de l'athlète dans le but de reconnaître et de promouvoir les réalisations des athlètes soutenus par le PAA dans la circonscription du député. La confirmation du financement de l'athlète et les listes d'envoi peuvent également être partagées avec des organismes sportifs canadiens, provinciaux et territoriaux approuvés, comme le Comité olympique canadien, le Comité paralympique canadien, les centres et instituts sportifs canadiens et d'autres organismes sportifs.",Hard-copy records are retained for 15 years and are then destroyed. Similar electronic records also exist and are kept indefinitely for statistical purposes. Notes: Personal information collected by PCH under the AAP is stored in the Department’s Athlete Assistance Program Management Information System (AAPMIS). Individuals requesting information described in this bank must provide their full name and the date of their AAP application.,"Les dossiers sont conservés en version papier pendant 15 ans, puis ils sont détruits. On garde des dossiers électroniques identiques jusqu'à nouvel ordre pour la compilation des statistiques. Notes : Les renseignements personnels recueillis par PCH dans le cadre du PAA sont conservés dans le Système d'information de gestion du programme d'aide aux athlètes (SIGPA) du Ministère. Les personnes qui demandent les renseignements décrits dans ce fichier doivent fournir leur nom complet et la date de leur demande au PAA.",99/012,99/012,PCH SPT 005,PCH SPT 005,,,002734,002734
PCH PPU 232,Status of the High-Performance Athlete in Canada Study,Étude de la situation de l'athlète de haut niveau,PCH PPU 232,PCH PPU 232,This bank contains detailed information on the socio-economic and occupational conditions of Canadian high performance athletes.,Ce fichier renferme des renseignements détaillés en ce qui concerne les conditions socio-économiques et professionnelles des athlètes canadiens de haut niveau.,Information related to Canadian high performance athletes.,Athlètes de haut niveau.,,,,,"To develop policies and programs which are responsive to the needs of Canadian athletes and the current realities of international sport, and for program evaluation purposes.",Développer des politiques et des programmes qui répondent aux besoins des athlètes canadiens et des réalités courantes du sport international et aux fins de l'évaluation des programmes.,None.,Aucun.,The information is kept indefinitely.,Les renseignements sont conservés indéfiniment.,99/012,99/012,PCH SPT 015,PCH SPT 015,,,002955,002955
PCH PPU 071,Youth Program,Programme jeunesse,PCH PPU 071,PCH PPU 071,"This bank describes information related to participants of the Youth Program. This program promotes educational initiatives and activities targeting Canada's youth through their teachers and schools. Personal information may include name, contact information, biographical information and language.","Ce fichier décrit les renseignements liés aux participants du Programme jeunesse. Ce programme sert à promouvoir les initiatives d'éducation et les activités destinées aux jeunes canadiens par le biais des enseignants et des écoles. Les renseignements personnels peuvent comprendre le nom, les coordonnées, les renseignements biographiques et langue.",Teachers.,Enseignants.,,,,,"Personal information is used for program delivery, which includes the receipt of registrations, and planning of school trips and educational itineraries.","Les renseignements personnels sont utilisés pour la prestation de programme, qui comprend la réception des inscriptions et la planification de voyages scolaires éducatifs et d'itinéraires.",Information may be used to disseminate material about educational initiatives and activities and to inform participants of other related programs.,"Les renseignements peuvent être utilisés pour disséminer l'information sur les initiatives d'éducation et les activités, ainsi qu'informer les participants de programmes connexes.",Two years or when superseded and then destroyed.,Les dossiers sont conservés pendant deux ans ou jusqu'à ce qu'ils soient remplacés et ensuite détruits.,05/004,05/004,PCH PAC 050,PCH PAC 050,,,20140070,20140070
PCH PPU 233,Young Canada Works,Jeunesse Canada au travail,PCH PPU 233,PCH PPU 233,"This bank describes information relating to Young Canada Works initiative activities. Personal information may include name, contact information, biographical information, citizenship status, gender, date of birth, educational information, employment equity information, financial information, official language proficiency, opinions and views of, or about, individuals, and signatures.","Ce fichier décrit les renseignements relatifs aux activités de l'initiative Jeunesse Canada au travail. Les renseignements personnels peuvent comprendre : le nom, les coordonnées, les renseignements biographiques, le statut de citoyenneté, le sexe, la date de naissance, les renseignements sur les études, les renseignements sur l'équité en matière d'emploi, les renseignements financiers, les compétences dans les langues officielles, les opinions et les points de vue des personnes ou à leur sujet, et les signatures. Catégories de personnes : Les étudiants et les diplômés qui postulent à un emploi dans le cadre de l'initiative Jeunesse Canada au travail ainsi que les employeurs qui fournissent des évaluations du programme et des étudiants employés choisis. Buts : Les renseignements personnels sont utilisés pour administrer l'initiative Jeunesse Canada au travail. Les renseignements personnels sont recueillis en vertu des articles 4(2)(c) et 4(2)(g) de la Loi sur le ministère du Patrimoine canadien et de l'article 7 de la Loi sur le ministère de l’Emploi et du Développement social.",Students and graduates who apply for employment through the Young Canada Works initiative as well as employers who provide evaluations on the program and the chosen student employees.,,,,,,Personal information is used to administer the Young Canada Works initiative. Personal information is collected pursuant to Sections 4(2)(c) and 4(2)(g) of the Department of Canadian Heritage Act and Section 7 of the Department of Employment and Social Development Act.,,"The information in these records will be used for administrative and statistical purposes associated with the Young Canada Works initiative. Information will be disclosed to partner delivery organizations and registered employers for recruitment, employment equity, and staffing purposes. Information will also be disclosed to the Department of Employment and Social Development Canada (formerly known as the Department of Human Resources and Skills Development) as the administrator of the overarching Youth Employment and Skill Strategy for administrative purposes.","Les renseignements contenus dans ces dossiers seront utilisés à des fins administratives et statistiques associées à l'initiative Jeunesse Canada au travail. Les renseignements seront divulgués aux organismes de prestation partenaire et aux employeurs inscrits à des fins de recrutement, d'équité en matière d'emploi et de dotation en personnel. Les renseignements seront également divulgués au ministère de l'Emploi et du Développement social du Canada (anciennement connu sous le nom de ministère des Ressources humaines et du Développement des compétences) en tant qu'administrateur de la Stratégie emploi compétences pour les jeunes, à des fins administratives. Conservation et rétention : Les dossiers de la Direction des langues officielles seront conservés pendant 6 ans après leur dernière utilisation administrative, puis détruits. Les dossiers du Groupe du patrimoine seront conservés pendant 5 ans après leur dernière utilisation administrative, puis détruits.",Official Languages Branch records will be retained records for 6 years after its last administrative use and then destroyed. Heritage Group records will be retained for 5 years after its last administrative use and then destroyed.,,2016/012,2016/012 Numéro d’enregistrement au SCT : en cours,,,,,Pending,
