record_number,name_en,name_fr,document_types_en,document_types_fr
SSC WTS 100,Workplace Technology Devices Provisioning,Approvisionnement d’appareils technologiques en milieu de travail,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business profit and loss reports, manuals and guides, minutes, memorandum of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, services catalogue, standard statements of work, standing offers, call-ups against standing offers, statements of qualification, submissions, Treasury Board submissions, technical documents, templates, timesheets, terms of reference, work plans, project plans, presentations, and proposals.","Ordres du jour; ententes; rapports sur les mesures de suivi; documents d’analyse des activités; analyses de rentabilisation; documents sur les besoins opérationnels; Remarques d’information et comptes rendus; budgets; documents contractuels; ententes avec des clients; tableaux, graphiques et diagrammes; communiqués; correspondance; lettres d’accompagnement; études de faisabilité; lignes directrices; factures; lettres d’acceptation; listes; rapports sur les profits et les pertes des secteurs d’activité; manuels et guides; procès-verbaux; protocoles d’entente; ententes sur les niveaux de fonctionnement; procédures opérationnelles; politiques; stratégies et plans; évaluations préliminaires; feuilles de prix; feuilles de route des produits; rapports; demandes de propositions; comptes rendus de décisions; ententes de service; accords sur les niveaux de service; catalogue des services; énoncés des travaux standard; offres à commandes; commandes subséquentes aux offres à commandes; énoncés des critères de mérite; soumissions; présentations au Conseil du Trésor; documents techniques; gabarits; feuilles de temps; mandats; plans de travail; plans de projet; dossiers de présentation; et propositions."
SSC WTS 102,Email Class of Record,Catégorie de documents Courriel,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contract documentation, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business cost/variance analysis reports, manuals and guides, minutes, memorandum of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, service level agreement templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour, ententes, rapports sur les mesures de suivi, documents d’analyse des activités, analyses de rentabilisation, documents sur les besoins opérationnels, Remarques d’information et comptes rendus, budgets, documents contractuels, ententes avec le client, tableaux, graphiques, diagrammes, communiqués, correspondance, lettres d’accompagnement, études de faisabilité, lignes directrices, factures, lettres d’acceptation, listes, rapports d’analyse des coûts et des écarts des secteurs d’activité, manuels et guides, procès-verbaux, protocoles d’entente, ententes sur les niveaux de fonctionnement, procédures opérationnelles, politiques, stratégies et plans, évaluations préliminaires, feuilles de prix, feuilles de route des produits, rapports, demandes de propositions, comptes rendus de décisions, ententes de service, accords sur les niveaux de service, modèles d’accord sur les niveaux de service, catalogue des services, énoncés des travaux standard, énoncés des compétences, soumissions, ébauches de présentations au Conseil du Trésor, documents techniques, gabarits, feuilles de temps, mandats, descriptions de travail, plans de travail, plans de projet, dossiers de présentation, et propositions."
SSC CS 200,Cloud Services Class of Record,Catégorie de documents Services infonuagiques,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business profit & loss reports, manuals and guides, minutes, memorandums of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposal, records of decision, service agreements, service level agreement templates, service level agreements templates, services catalogue, standard statements of work, statements of qualification, submissions, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour; ententes; rapports sur les mesures de suivi; documents d’analyse des activités; analyses de rentabilisation; documents sur les besoins opérationnels; notes d’information et comptes rendus; budgets; documents contractuels; ententes avec des clients; tableaux, graphiques et diagrammes; communiqués; correspondance; lettres d’accompagnement; études de faisabilité; lignes directrices; factures; lettres d’acceptation; listes; rapports sur les profits et les pertes des secteurs d’activité; manuels et guides; procès-verbaux; protocoles d’entente; ententes sur les niveaux de fonctionnement; procédures opérationnelles; politiques; stratégies et plans; évaluations préliminaires; feuilles de prix; feuilles de route des produits; rapports; demandes de propositions; comptes rendus de décisions; ententes de service; accords sur les niveaux de service; modèles d’accord sur les niveaux de service; catalogue des services; énoncés des travaux standard; énoncés des critères de mérite; soumissions; documents techniques; gabarits; feuilles de temps; mandats; descriptions de travail; plans de travail; plans de projet; dossiers de présentation; propositions."
SSC DCS 302,Facilities Management Class of Record,Catégorie de documents Gestion des installations,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business profit & loss reports, manuals and guides, minutes, memorandums of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposal, records of decision, service agreements, service level agreement templates, service level agreements templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour, ententes, rapports sur les mesures de suivi, documents d’analyse des activités, analyses de rentabilisation, documents sur les besoins opérationnels, notes d’information et comptes rendus, budgets, documents contractuels, ententes avec des clients, tableaux, graphiques, diagrammes, communiqués, correspondance, lettres d’accompagnement, études de faisabilité, lignes directrices, factures, lettres d’acceptation, listes, rapports sur les profits et les pertes des secteurs d’activité, manuels et guides, procès-verbaux, protocoles d’entente, ententes sur les niveaux de fonctionnement, procédures opérationnelles, politiques, stratégies et plans, évaluations préliminaires, feuilles de prix, feuilles de route des produits, rapports, demandes de propositions, comptes rendus de décisions, ententes de service, accords sur les niveaux de service, modèles d’accord sur les niveaux de service, catalogue des services, énoncés des travaux standard, énoncés des critères de mérite, soumissions, ébauches de présentations au Conseil du Trésor, documents techniques, gabarits, feuilles de temps, mandats, descriptions de travail, plans de travail, plans de projet, dossiers de présentation, et propositions."
SSC DCS 303,Integrated High-Performance Computing Management Class of Record,Catégorie de documents Gestion du calcul de haute performance intégré,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business profit & loss reports, manuals and guides, minutes, memorandums of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposal, records of decision, service agreements, service level agreement templates, service level agreements templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.",Ordres du jour; ententes; rapports sur les mesures de suivi; documents d’analyse des activités; analyses de rentabilisation; documents sur les besoins opérationnels; notes d’information et comptes rendus; budgets; documents contractuels; ententes avec des clients; tableaux; graphiques et diagrammes; communiqués; correspondance; lettres d’accompagnement; études de faisabilité; lignes directrices; factures; lettres d’acceptation; listes; rapports sur les profits et les pertes des secteurs d’activité; manuels et guides; procès-verbaux; protocoles d’entente; ententes sur les niveaux de fonctionnement; procédures opérationnelles; politiques; stratégies et plans; évaluations préliminaires; feuilles de prix; feuilles de route des produits; rapports; demandes de propositions; comptes rendus de décisions; ententes de service; accords sur les niveaux de service; modèles d’accord sur les niveaux de service; catalogue des services; énoncés des travaux standard; énoncés des critères de mérite; soumissions; ébauches de présentations au Conseil du Trésor; documents techniques; gabarits; feuilles de temps; mandats; descriptions de travail; plans de travail; plans de projet; dossiers de présentation; propositions.
SSC DCS 304,Enterprise Operations Class of Record,Catégorie de documents Opérations d’entreprise,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contract documentation, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business cost/variance analysis reports, manuals and guides, minutes, memorandum of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, service level agreement templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour; ententes; rapports sur les mesures de suivi; documents d’analyse des activités; analyses de rentabilisation; documents sur les besoins opérationnels; Remarques d’information et comptes rendus; budgets; documents contractuels; ententes avec des clients; tableaux, graphiques et diagrammes; communiqués; correspondance; lettres d’accompagnement; études de faisabilité; lignes directrices; factures; lettres d’acceptation; listes; rapports sur les profits et les pertes des secteurs d’activité; manuels et guides; procès-verbaux; protocoles d’entente; ententes sur les niveaux de fonctionnement; procédures opérationnelles; politiques; stratégies et plans; évaluations préliminaires; feuilles de prix; feuilles de route des produits; rapports; demandes de propositions; comptes rendus de décisions; ententes de service; accords sur les niveaux de service; catalogue des services; énoncés des travaux standard; offres à commandes; commandes subséquentes aux offres à commandes; énoncés des critères de mérite; soumissions; présentations au Conseil du Trésor; documents techniques; gabarits; feuilles de temps; mandats; plans de travail; plans de projet; dossiers de présentation; et propositions."
SSC DCS 305,Linux/Unix Class of Record,Catégorie de documents Linux/Unix,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contract documentation, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business cost/variance analysis reports, manuals and guides, minutes, memorandum of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, service level agreement templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour; ententes; rapports sur les mesures de suivi; documents d’analyse des activités; analyses de rentabilisation; documents sur les besoins opérationnels; Remarques d’information et comptes rendus; budgets; documents contractuels; ententes avec des clients; tableaux, graphiques et diagrammes; communiqués; correspondance; lettres d’accompagnement; études de faisabilité; lignes directrices; factures; lettres d’acceptation; listes; rapports sur les profits et les pertes des secteurs d’activité; manuels et guides; procès-verbaux; protocoles d’entente; ententes sur les niveaux de fonctionnement; procédures opérationnelles; politiques; stratégies et plans; évaluations préliminaires; feuilles de prix; feuilles de route des produits; rapports; demandes de propositions; comptes rendus de décisions; ententes de service; accords sur les niveaux de service; catalogue des services; énoncés des travaux standard; offres à commandes; commandes subséquentes aux offres à commandes; énoncés des critères de mérite; soumissions; présentations au Conseil du Trésor; documents techniques; gabarits; feuilles de temps; mandats; plans de travail; plans de projet; dossiers de présentation; et propositions."
SSC DCS 306,Windows and Virtualization Management Class of Record,Catégorie de documents Gestion de Windows et de la virtualisation,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contract documentation, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business cost/variance analysis reports, manuals and guides, minutes, memorandum of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, service level agreement templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour; ententes; rapports sur les mesures de suivi; documents d’analyse des activités; analyses de rentabilisation; documents sur les besoins opérationnels; Remarques d’information et comptes rendus; budgets; documents contractuels; ententes avec des clients; tableaux, graphiques et diagrammes; communiqués; correspondance; lettres d’accompagnement; études de faisabilité; lignes directrices; factures; lettres d’acceptation; listes; rapports sur les profits et les pertes des secteurs d’activité; manuels et guides; procès-verbaux; protocoles d’entente; ententes sur les niveaux de fonctionnement; procédures opérationnelles; politiques; stratégies et plans; évaluations préliminaires; feuilles de prix; feuilles de route des produits; rapports; demandes de propositions; comptes rendus de décisions; ententes de service; accords sur les niveaux de service; catalogue des services; énoncés des travaux standard; offres à commandes; commandes subséquentes aux offres à commandes; énoncés des critères de mérite; soumissions; présentations au Conseil du Trésor; documents techniques; gabarits; feuilles de temps; mandats; plans de travail; plans de projet; dossiers de présentation; et propositions."
SSC DCS 307,Mainframe and Bulk Print Class of Record,Catégorie de document Gestion d’ordinateur central et d’impression en bloc,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business profit & loss reports, manuals and guides, minutes, memorandums of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposal, records of decision, service agreements, service level agreement templates, service level agreements templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour ententes; rapports sur les mesures de suivi; documents d’analyse des activités; analyses de rentabilisation; documents sur les besoins opérationnels; notes d’information et comptes rendus; budgets; documents contractuels; ententes avec des clients; tableaux, graphiques et diagrammes; communiqués; correspondance; lettres d’accompagnement; études de faisabilité; lignes directrices; factures; lettres d’acceptation; listes; rapports sur les profits et les pertes des secteurs d’activité; manuels et guides; procès-verbaux; protocoles d’entente; ententes sur les niveaux de fonctionnement; procédures opérationnelles; politiques; stratégies et plans; évaluations préliminaires; feuilles de prix; feuilles de route des produits; rapports; demandes de propositions; comptes rendus de décisions; ententes de service; accords sur les niveaux de service; modèles d’accord sur les niveaux de service; catalogue des services; énoncés des travaux standard; énoncés des critères de mérite; soumissions; ébauches de présentations au Conseil du Trésor; documents techniques; gabarits; feuilles de temps; mandats; descriptions de travail; plans de travail; plans de projet; dossiers de présentation; propositions."
SSC DCS 308,"Storage Backup, Archives and Files Class of Record","Catégorie de document Stockage, sauvegarde, archives et services de fichiers","Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business profit & loss reports, manuals and guides, minutes, memorandums of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposal, records of decision, service agreements, service level agreement templates, service level agreements templates, services catalogue, standard statements of work, statements of qualification, submissions, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour; ententes; rapports sur les mesures de suivi; documents d’analyse des activités; analyses de rentabilisation; documents sur les besoins opérationnels; notes d’information et comptes rendus; budgets; documents contractuels; ententes avec des clients; tableaux, graphiques et diagrammes; communiqués; correspondance; lettres d’accompagnement; études de faisabilité; lignes directrices; factures; lettres d’acceptation; listes; rapports sur les profits et les pertes des secteurs d’activité; manuels et guides; procès-verbaux; protocoles d’entente; ententes sur les niveaux de fonctionnement; procédures opérationnelles; politiques; stratégies et plans; évaluations préliminaires; feuilles de prix; feuilles de route des produits; rapports; demandes de propositions; comptes rendus de décisions; ententes de service, accords sur les niveaux de service; modèles d’accord sur les niveaux de service; catalogue des services; énoncés des travaux standard; énoncés des critères de mérite; soumissions; documents techniques; gabarits; feuilles de temps; mandats; descriptions de travail; plans de travail; plans de projet; dossiers de présentation; propositions."
SSC TS 400,Mobile Devices and Fixed-Line Phones Class of Record,Catégorie de documents Services mobiles et services téléphoniques filaires,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, manuals and guides, minutes, memorandum of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, service level agreement templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour, ententes, rapports sur les mesures de suivi, documents d’analyse des activités, analyses de rentabilisation, documents sur les besoins opérationnels, notes d’information et comptes rendus, budgets, documents contractuels, ententes avec le client, tableaux, graphiques, diagrammes, communiqués, correspondance, lettres d’accompagnement, études de faisabilité, lignes directrices, factures, lettres d’acceptation, listes, manuels et guides, procès-verbaux, protocoles d’entente, ententes sur les niveaux de fonctionnement, procédures opérationnelles, politiques, stratégies et plans, évaluations préliminaires, feuilles de prix, feuilles de route des produits, rapports, demandes de propositions, comptes rendus de décisions, ententes de service, accords sur les niveaux de service, modèles d’accord sur les niveaux de service, catalogue des services, énoncés des travaux standard, énoncés des compétences, présentations, ébauches de présentations au Conseil du Trésor, documents techniques, gabarits, feuilles de temps, mandats, descriptions de travail, plans de travail, plans de projet, dossiers de présentation, et propositions."
SSC TS 401,Conferencing Services Class of Record,Catégorie de documents Services de vidéoconférence,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, manuals and guides, minutes, memorandums of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, service level agreement templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour, ententes, rapports sur les mesures de suivi, documents d’analyse des activités, analyses de rentabilisation, documents sur les besoins opérationnels, notes d’information et comptes rendus, budgets, documents contractuels, ententes avec le client, tableaux, graphiques, diagrammes, communiqués, correspondance, lettres d’accompagnement, études de faisabilité, lignes directrices, factures, lettres d’acceptation, listes, manuels et guides, procès-verbaux, protocoles d’entente, ententes sur les niveaux de fonctionnement, procédures opérationnelles, politiques, stratégies et plans, évaluations préliminaires, feuilles de prix, feuilles de route des produits, rapports, demandes de propositions, comptes rendus de décisions, ententes de service, accords sur les niveaux de service, modèles d’accord sur les niveaux de service, catalogue des services, énoncés des travaux standard, énoncés des compétences, présentations, ébauches de présentations au Conseil du Trésor, documents techniques, gabarits, feuilles de temps, mandats, descriptions de travail, plans de travail, plans de projet, dossiers de présentation et propositions."
SSC TS 402,Contact Centre Infrastructure Services Class of Record,Catégorie de documents Services d’infrastructure du centre de contact,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, vendor reports, performance data, charts, graphs and diagrams, communiqués, correspondence, feasibility studies, guidelines, invoices, letters of acceptance, lists, manuals and guides, minutes, memoranda of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, services catalogue, standard statements of work, statements of qualification, Treasury Board submission drafts, technical documents, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour, ententes, rapports sur les mesures de suivi, documents d’analyse des activités, analyses de rentabilisation, documents sur les besoins opérationnels, notes d’information et comptes rendus, budgets, documents contractuels, ententes avec le client, tableaux, graphiques, diagrammes, communiqués, correspondance, lettres d’accompagnement, études de faisabilité, lignes directrices, factures, lettres d’acceptation, listes, manuels et guides, procès-verbaux, protocoles d’entente, ententes sur les niveaux de fonctionnement, procédures opérationnelles, politiques, stratégies et plans, évaluations préliminaires, feuilles de prix, feuilles de route des produits, rapports, demandes de propositions, comptes rendus de décisions, ententes de service, accords sur les niveaux de service, modèles d’accord sur les niveaux de service, catalogue des services, énoncés des travaux standard, énoncés des compétences, présentations, ébauches de présentations au Conseil du Trésor, documents techniques, gabarits, feuilles de temps, mandats, descriptions de travail, plans de travail, plans de projet, dossiers de présentation, et propositions."
SSC TS 403,Toll-Free Voice Services Class of Record,Catégorie de documents Services de téléphonie sans frais,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, vendor reports, performance data, charts, graphs and diagrams, communiqués, correspondence, feasibility studies, guidelines, invoices, letters of acceptance, lists, manuals and guides, minutes, memoranda of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, services catalogue, standard statements of work, statements of qualification, Treasury Board submission drafts, technical documents, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour, ententes, rapports sur les mesures de suivi, documents d’analyse des activités, analyses de rentabilisation, documents sur les besoins opérationnels, notes d’information et comptes rendus, budgets, documents contractuels, ententes avec le client, tableaux, graphiques, diagrammes, communiqués, correspondance, lettres d’accompagnement, études de faisabilité, lignes directrices, factures, lettres d’acceptation, listes, manuels et guides, procès-verbaux, protocoles d’entente, ententes sur les niveaux de fonctionnement, procédures opérationnelles, politiques, stratégies et plans, évaluations préliminaires, feuilles de prix, feuilles de route des produits, rapports, demandes de propositions, comptes rendus de décisions, ententes de service, accords sur les niveaux de service, modèles d’accord sur les niveaux de service, catalogue des services, énoncés des travaux standard, énoncés des compétences, présentations, ébauches de présentations au Conseil du Trésor, documents techniques, gabarits, feuilles de temps, mandats, descriptions de travail, plans de travail, plans de projet, dossiers de présentation et propositions."
SSC NS 500,Local Area Network Class of Record,Catégorie de documents Réseau local,"Agendas, agreements, action item reports, business analysis documents, business cases, business requirement documents, briefings and updates, budgets, contracts documentations, client agreements, charts, graphs and diagrams, communiqués, correspondence, cover letters, feasibility studies, guidelines, invoices, letters of acceptance, lists, line of business profit and loss reports, manuals and guides, minutes, memorandum of understanding, operating level agreements, operational procedures, policies, strategies and plans, preliminary assessments, pricing sheets, product roadmaps, reports, requests for proposals, records of decision, service agreements, service level agreements, service level agreement templates, services catalogue, standard statements of work, statements of qualification, submissions, Treasury Board submission drafts, technical documents, templates, timesheets, terms of reference, work descriptions, work plans, project plans, presentations, and proposals.","Ordres du jour; ententes; rapports sur les mesures de suivi; documents d’analyse des activités; analyses de rentabilisation; documents sur les besoins opérationnels; notes d’information et comptes rendus; budgets; documents contractuels; ententes avec des clients; tableaux, graphiques et diagrammes; communiqués; correspondance; lettres d’accompagnement; études de faisabilité; lignes directrices; factures; lettres d’acceptation; listes; rapports sur les profits et les pertes des secteurs d’activité; manuels et guides; procès-verbaux; protocoles d’entente; ententes sur les niveaux de fonctionnement; procédures opérationnelles; politiques; stratégies et plans; évaluations préliminaires; feuilles de prix; feuilles de route des produits; rapports; demandes de propositions; comptes rendus de décisions; ententes de service; accords sur les niveaux de service; modèles d’accord sur les niveaux de service; catalogue des services; énoncés des travaux standard; énoncés des critères de mérite; soumissions; ébauches de présentations au Conseil du Trésor; documents techniques; gabarits; feuilles de temps; mandats; descriptions de travail; plans de travail; plans de projet; dossiers de présentation; et propositions."
