bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
CNSC PPU 035,Uranium mines and mills,Mines et usines de concentration d'uranium,CNSC PPU 035,CCSN PPU 035,"This bank describes information about individuals that is used by the CNSC for its institutional tactical response to emergencies that fall within its mandate â the *Nuclear Emergency Response Plan*. The bank supports the requirements established in the SEMP and demonstrates how the CNSC will fulfill its legislative requirements for the tactical response to and recovery from emergencies. An emergency response plan is established under the authority of the federal *Emergency Management Act*, which imposes a responsibility on all ministers accountable to Parliament to identify the risks within their areas of responsibility and to prepare emergency management plans to address those risks. Personal information may include name and contact information.","Ce fichier comprend des renseignements sur les personnes auxquelles la CCSN fait appel pour ses interventions tactiques qui relèvent de son mandat, soit le*Plan d'intervention en cas d'urgence nucléaire* (PIUN). Il vient étayer les exigences établies dans le Plan stratégique de gestion des urgences (PSGU) et montre de quelle façon la CCSN remplira ses obligations législatives en matière d'intervention tactique et de rétablissement à la suite d'urgences. Un plan d'intervention d'urgence est établi en vertu des pouvoirs de la*Loi sur la gestion des urgences*, qui impose à tous les ministres redevables au Parlement la responsabilité de déterminer les risques dans leurs domaines de compétence et de préparer des plans de gestion des urgences pour pallier ces risques. Les renseignements personnels peuvent inclure le nom et les coordonnées d'une personne.","CNSC employees and officers, officials with other federal institutions and with municipal, provincial/territorial and international levels of government.","Employés et fonctionnaires de la CCSN, représentants d'autres établissements fédéraux et d'administrations municipales, ainsi que de gouvernements provinciaux, territoriaux et internationaux",,,,,"The personal information is used to contact appropriate CNSC staff and other federal, international, provincial and/or municipal emergency response officials to assist in the CNSC response to a radiological/nuclear emergency.","Les renseignements personnels servent à contacter les employés appropriés de la CCSN ou les représentants d'organismes d'intervention fédéraux, internationaux, provinciaux ou municipaux susceptibles d'aider la CCSN dans son intervention en cas d'urgence de nature radiologique ou nucléaire.","Information may be shared with other federal institutions, municipal, provincial/territorial and international levels of government, police, fire and other emergency response agencies on an ""as required"" basis, upon consultation with and consent from the individual CNSC employee or officer. Information may also be used for audit, evaluation, research and/or statistical purposes.","L'information peut être communiquée à d'autres établissements fédéraux et des administrations d'ordre municipal, provincial, territorial et international, les services de police, les services d'incendie ou d'autres organismes d'intervention d'urgence, au fur et à mesure des besoins, après consultation de l'employé ou du fonctionnaire de la CCSN et obtention de son consentement. L'information peut aussi servir à des fins de vérification, d'évaluation, de recherche ou de statistique.",Records are retained for ten years after the individual is no longer part of the contact list for the emergency response plan.,Les fichiers sont conservés pendant dix années suivant le retrait de la personne de la liste de personnes-ressources du Plan d'intervention d'urgence.,2015/009,2015/009,"CNSC 1.1.1, CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4, CNSC 1.3.5","CCSN 1.1.1, CCSN 1.1.2, CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4, CCSN 1.3.5",,,20090815,20090815
CNSC PPU 035,,,CNSC PPU 035,CCSN PPU 035,"This bank describes information about individuals that is used by the CNSC for its institutional tactical response to emergencies that fall within its mandate â the *Nuclear Emergency Response Plan*. The bank supports the requirements established in the SEMP and demonstrates how the CNSC will fulfill its legislative requirements for the tactical response to and recovery from emergencies. An emergency response plan is established under the authority of the federal *Emergency Management Act*, which imposes a responsibility on all ministers accountable to Parliament to identify the risks within their areas of responsibility and to prepare emergency management plans to address those risks. Personal information may include name and contact information.","Ce fichier comprend des renseignements sur les personnes auxquelles la CCSN fait appel pour ses interventions tactiques qui relèvent de son mandat, soit le Plan d'intervention en cas d'urgence nucléaire (PIUN). Il vient étayer les exigences établies dans le Plan stratégique de gestion des urgences (PSGU) et montre de quelle façon la CCSN remplira ses obligations législatives en matière d'intervention tactique et de rétablissement à la suite d'urgences. Un plan d'intervention d'urgence est établi en vertu des pouvoirs de la *Loi sur la gestion des urgences*, qui impose à tous les ministres redevables au Parlement la responsabilité de déterminer les risques dans leurs domaines de compétence et de préparer des plans de gestion des urgences pour pallier ces risques. Les renseignements personnels peuvent inclure le nom et les coordonnées d'une personne.","CNSC employees and officers, officials with other federal institutions and with municipal, provincial/territorial and international levels of government.","Employés et fonctionnaires de la CCSN, représentants d'autres établissements fédéraux et d'administrations municipales, ainsi que de gouvernements provinciaux, territoriaux et internationaux",,,,,"The personal information is used to contact appropriate CNSC staff and other federal, international, provincial and/or municipal emergency response officials, to assist in the CNSC response to a radiological/nuclear emergency.","Les renseignements personnels servent à contacter les employés appropriés de la CCSN ou les représentants d'organismes d'intervention fédéraux, internationaux, provinciaux ou municipaux susceptibles d'aider la CCSN dans son intervention en cas d'urgence de nature radiologique ou nucléaire.","Information may be shared with other federal institutions, municipal, provincial/territorial and international levels of government, police, fire and other emergency response agencies on an ""as required"" basis, upon consultation with and consent from the individual CNSC employee or officer. Information may also be used for audit, evaluation, research and/or statistical purposes.","L'information peut être communiquée à d'autres établissements fédéraux et des administrations d'ordre municipal, provincial, territorial et international, les services de police, les services d'incendie ou d'autres organismes d'intervention d'urgence, au fur et à mesure des besoins, après consultation de l'employé ou du fonctionnaire de la CCSN et obtention de son consentement. L'information peut aussi servir à des fins de vérification, d'évaluation, de recherche ou de statistique.",Records are retained for ten years after the individual is no longer part of the contact list for the emergency response plan.,Les fichiers sont conservés pendant dix années suivant le retrait de la personne de la liste de personnes-ressources du Plan d'intervention d'urgence.,2015/009,2015/009,"CNSC 1.1.1, CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4, CNSC 1.3.5 **TBS registration number:** 20090815","CCSN 1.1.1, CCSN 1.1.2. CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4, CCSN 1.3.5",,,,20090815
CNSC PPU 035,Packaging and transport,Emballage et transport,CNSC PPU 035,CCSN PPU 035,"This bank describes information about individuals that is used by the CNSC for its institutional tactical response to emergencies that fall within its mandate â the *Nuclear Emergency Response Plan*. The bank supports the requirements established in the SEMP and demonstrates how the CNSC will fulfill its legislative requirements for the tactical response to and recovery from emergencies. An emergency response plan is established under the authority of the federal *Emergency Management Act*, which imposes a responsibility on all ministers accountable to Parliament to identify the risks within their areas of responsibility and to prepare emergency management plans to address those risks. Personal information may include name and contact information.","Ce fichier comprend des renseignements sur les personnes auxquelles la CCSN fait appel pour ses interventions tactiques qui relèvent de son mandat, soit le Plan d'intervention en cas d'urgence nucléaire (PIUN). Il vient étayer les exigences établies dans le Plan stratégique de gestion des urgences (PSGU) et montre de quelle façon la CCSN remplira ses obligations législatives en matière d'intervention tactique et de rétablissement à la suite d'urgences. Un plan d'intervention d'urgence est établi en vertu des pouvoirs de la *Loi sur la gestion des urgences*, qui impose à tous les ministres redevables au Parlement la responsabilité de déterminer les risques dans leurs domaines de compétence et de préparer des plans de gestion des urgences pour pallier ces risques. Les renseignements personnels peuvent inclure le nom et les coordonnées d'une personne.","CNSC employees and officers, officials with other federal institutions and with municipal, provincial/territorial and international levels of government.","Employés et fonctionnaires de la CCSN, représentants d'autres établissements fédéraux et d'administrations municipales, ainsi que de gouvernements provinciaux, territoriaux et internationaux",,,,,"The personal information is used to contact appropriate CNSC staff and other federal, international, provincial and/or municipal emergency response officials, to assist in the CNSC response to a radiological/nuclear emergency.","Les renseignements personnels servent à contacter les employés appropriés de la CCSN ou les représentants d'organismes d'intervention fédéraux, internationaux, provinciaux ou municipaux susceptibles d'aider la CCSN dans son intervention en cas d'urgence de nature radiologique ou nucléaire.","Information may be shared with other federal institutions, municipal, provincial/territorial and international levels of government, police, fire and other emergency response agencies on an ""as required"" basis, upon consultation with and consent from the individual CNSC employee or officer. Information may also be used for audit, evaluation, research and/or statistical purposes.","L'information peut être communiquée à d'autres établissements fédéraux et des administrations d'ordre municipal, provincial, territorial et international, les services de police, les services d'incendie ou d'autres organismes d'intervention d'urgence, au fur et à mesure des besoins, après consultation de l'employé ou du fonctionnaire de la CCSN et obtention de son consentement. L'information peut aussi servir à des fins de vérification, d'évaluation, de recherche ou de statistique.",Records are retained for ten years after the individual is no longer part of the contact list for the emergency response plan.,Les fichiers sont conservés pendant dix années suivant le retrait de la personne de la liste de personnes-ressources du Plan d'intervention d'urgence.,2015/009,2015/009,"CNSC 1.1.1, CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4, CNSC 1.3.5. **TBS registration number:** 20090815","CCSN 1.1.1, CCSN 1.1.2, CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4, CCSN 1.3.5",,,,20090815
CNSC PPU 025,Nuclear processing facilities,Installations de traitement nucléaire,CNSC PPU 025,CCSN PPU 025,"Data includes summaries of individual examination results, copies of all certifications issued for the appointment of an individual to designated positions, and correspondence specifically related to individuals.","Les données comprennent les résumés des résultats d'examens des candidats, des copies de toutes les accréditations décernées en vue de la nomination à un poste désigné et la correspondance personnelle.",Employees who work at Class I facilities (nuclear generating stations and non-power reactor facilities) and individuals certified or seeking certification as exposure device operators.,Employés qui travaillent dans des installations de catégorie I (centrales nucléaires et installations de réacteurs de faible puissance) et les personnes accréditées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.,,,,,The purpose of the bank is to maintain a record of each individual's examination and certification for designated appointments at Class I facilities and of individuals employed or seeking certification as exposure device operators.,"Le fichier a pour but de conserver, pour chaque personne, un relevé d'examen et d'accréditation pour des nominations désignées, dans les installations de catégorie I ainsi que pour les personnes embauchées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.",No consistent uses have been identified.,Aucun usage compatible déterminé,Records are retained for 60.,Les dossiers sont conservés pendant 60 ans.,2015/009,2015/009,"CNSC 1.1.2, CNSC 1.2.1, CNSC 1.2.2","CCSN 1.1.2, CCSN 1.2.1, CCSN 1.2.2",,,004125,004125
CNSC PPU 025,Nuclear power plants,Centrales nucléaires,CNSC PPU 025,CCSN PPU 025,"Data includes summaries of individual examination results, copies of all certifications issued for the appointment of an individual to designated positions, and correspondence specifically related to individuals.","Les données comprennent les résumés des résultats d'examens des candidats, des copies de toutes les accréditations décernées en vue de la nomination à un poste désigné et la correspondance personnelle.",Employees who work at Class I facilities (nuclear generating stations and non-power reactor facilities) and individuals certified or seeking certification as exposure device operators.,Employés qui travaillent dans des installations de catégorie I (centrales nucléaires et installations non productrices de puissance) et les personnes accréditées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.,,,,,The purpose of the bank is to maintain a record of each individual's examination and certification for designated appointments at Class I facilities and of individuals employed or seeking certification as exposure device operators.,"Le fichier a pour but de conserver, pour chaque personne, un relevé d'examen et d'accréditation pour des nominations désignées, dans les installations de catégorie I ainsi que pour les personnes embauchées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.",No consistent uses have been identified.,Aucun usage compatible déterminé,Records are retained for 60 years.,Les dossiers sont conservés pendant 60 ans.,2015/009,2015/009,"CNSC 1.1.2, CNSC 1.2.1, CNSC 1.2.2","CCSN 1.1.2, CCSN 1.2.1, CCSN 1.2.2",,,004125,004125
CNSC PPU 025,Research reactors,Réacteurs de recherche,CNSC PPU 025,CCSN PPU 025,"Data includes summaries of individual examination results, copies of all certifications issued for the appointment of an individual to designated positions, and correspondence specifically related to individuals.","Les données comprennent les résumés des résultats d'examens des candidats, des copies de toutes les accréditations décernées en vue de la nomination à un poste désigné et la correspondance personnelle.",Employees who work at Class I facilities (nuclear generating stations and non-power reactor facilities) and individuals certified or seeking certification as exposure device operators.,Employés qui travaillent dans des installations de catégorie I (centrales nucléaires et installations non productrices de puissance) et les personnes accréditées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.,,,,,The purpose of the bank is to maintain a record of each individual's examination and certification for designated appointments at Class I facilities and of individuals employed or seeking certification as exposure device operators.,"Le fichier a pour but de conserver, pour chaque personne, un relevé d'examen et d'accréditation pour des nominations désignées, dans les installations de catégorie I ainsi que pour les personnes embauchées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.",No consistent uses have been identified.,Aucun usage compatible déterminé,Records are retained for 60 years.,Les dossiers sont conservés pendant 60 ans.,2015/009,2015/009,"CNSC 1.1.2, CNSC 1.2.1, CNSC 1.2.2","CCSN 1.1.2, CCSN 1.2.1, CCSN 1.2.2",,,004125,004125
CNSC PPU 060,,,CNSC PPU 060,CCSN PPU 060,"This bank maintains a record of the personal information and certification results for all candidates certified or seeking certification as exposure device operators, and those previously certified as qualified operators. Data includes names and addresses of individuals, titles of examinations written and results (in terms of success or failure).","Ce fichier contient l'information personnelle et les résultats d'accréditation pour tous les candidats accrédités ou cherchant à être accrédités en tant qu'opérateurs d'appareils d'exposition, ainsi que pour les personnes qui ont déjà été accréditées comme opérateurs qualifiés. Les données comprennent les noms et adresses des personnes, les titres des examens subis et leurs résultats en termes de réussite ou d'échec.",Individuals certified or seeking certification as exposure device operators.,Personnes accréditées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.,,,,,"The CNSC certifies exposure device operators based on education, training and experience. This database tracks all the candidates' information on certification.","La CCSN accrédite les opérateurs d'appareils d'exposition en se basant sur leurs études, leur formation et leur expérience. Cette base de données centralise toute l'information pertinente relative à l'accréditation des candidats.",No consistent uses have been identified.,Aucun usage compatible déterminé.,Records are retained for 60 years.,Les dossiers sont conservés pendant 60 ans.,2015/009,2015/009,"CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4","CCSN 1.1.2, CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4",,,005095,005095
CNSC PPU 060,Nuclear waste management facilities,Installations de gestion des déchets nucléaires,CNSC PPU 060,CCSN PPU 060,"This bank maintains a record of the personal information and certification results for all candidates certified or seeking certification as exposure device operators, and those previously certified as qualified operators. Data includes names and addresses of individuals, titles of examinations written and results (in terms of success or failure).","Ce fichier contient l'information personnelle et les résultats d'accréditation pour tous les candidats accrédités ou cherchant à être accrédités en tant qu'opérateurs d'appareils d'exposition, ainsi que pour les personnes qui ont déjà été accréditées comme opérateurs qualifiés. Les données comprennent les noms et adresses des personnes, les titres des examens subis et leurs résultats en termes de réussite ou d'échec.",Individuals certified or seeking certification as exposure device operators.,Personnes accréditées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.,,,,,"The CNSC certifies exposure device operators based on education, training and experience. This database tracks all the candidates' information on certification.","La CCSN accrédite les opérateurs d'appareils d'exposition en se basant sur leurs études, leur formation et leur expérience. Cette base de données centralise toute l'information pertinente relative à l'accréditation des candidats.",No consistent uses have been identified.,Aucun usage compatible déterminé.,Records are retained for 60 years.,Les dossiers sont conservés pendant 60 ans.,2015/009,2015/009,"CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4","CCSN 1.1.2, CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4",,,005095,005095
CNSC PPU 060,Medical sector,Secteur médical,CNSC PPU 060,CCSN PPU 060,"This bank maintains a record of the personal information and certification results for all candidates certified or seeking certification as exposure device operators, and those previously certified as qualified operators. Data includes names and addresses of individuals, titles of examinations written and results (in terms of success or failure).","Ce fichier contient l'information personnelle et les résultats d'accréditation pour tous les candidats accrédités ou cherchant à être accrédités en tant qu'opérateurs d'appareils d'exposition, ainsi que pour les personnes qui ont déjà été accréditées comme opérateurs qualifiés. Les données comprennent les noms et adresses des personnes, les titres des examens subis et leurs résultats en termes de réussite ou d'échec.",Individuals certified or seeking certification as exposure device operators.,Personnes accréditées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.,,,,,"The CNSC certifies exposure device operators based on education, training and experience. This database tracks all the candidates' information on certification.","La CCSN accrédite les opérateurs d'appareils d'exposition en se basant sur leurs études, leur formation et leur expérience. Cette base de données centralise toute l'information pertinente relative à l'accréditation des candidats.",No consistent uses have been identified.,Aucun usage compatible déterminé.,Records are retained for 60 years.,Les dossiers sont conservés pendant 60 jours.,2015/009,2015/009,"CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4","CCSN 1.1.2, CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4",,,005095,005095
CNSC PPU 060,Industrial sector,Secteur industriel,CNSC PPU 060,CCSN PPU 060,"This bank maintains a record of the personal information and certification results for all candidates certified or seeking certification as exposure device operators, and those previously certified as qualified operators. Data includes names and addresses of individuals, titles of examinations written and results (in terms of success or failure).","Ce fichier contient l'information personnelle et les résultats d'accréditation pour tous les candidats accrédités ou cherchant à être accrédités en tant qu'opérateurs d'appareils d'exposition, ainsi que pour les personnes qui ont déjà été accréditées comme opérateurs qualifiés. Les données comprennent les noms et adresses des personnes, les titres des examens subis et leurs résultats en termes de réussite ou d'échec.",Individuals certified or seeking certification as exposure device operators.,Personnes accréditées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.,,,,,"The CNSC certifies exposure device operators based on education, training and experience. This database tracks all the candidates' information on certification.","La CCSN accrédite les opérateurs d'appareils d'exposition en se basant sur leurs études, leur formation et leur expérience. Cette base de données centralise toute l'information pertinente relative à l'accréditation des candidats.",No consistent uses have been identified.,Aucun usage compatible déterminé.,Records are retained for 60 years. Paper and electronic copies of the information stored as a subset of this bank are retained for two years before they are transferred to classified waste.,"Les dossiers sont conservés pendant 60 ans. Les copies papier et électroniques qui sont un sous-ensemble du fichier sont conservées pendant deux ans, après quoi elles sont transférées aux rebuts classifiés.",2015/009,2015/009,"CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4","CCSN 1.1.2, CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4",,,005095,005095
CNSC PPU 060,Commercial sector,Secteur commercial,CNSC PPU 060,CCSN PPU 060,"This bank maintains a record of the personal information and certification results for all candidates certified or seeking certification as exposure device operators, and those previously certified as qualified operators. Data includes names and addresses of individuals, titles of examinations written and results (in terms of success or failure).","Ce fichier contient l'information personnelle et les résultats d'accréditation pour tous les candidats accrédités ou cherchant à être accrédités en tant qu'opérateurs d'appareils d'exposition, ainsi que pour les personnes qui ont déjà été accréditées comme opérateurs qualifiés. Les données comprennent les noms et adresses des personnes, les titres des examens subis et leurs résultats en termes de réussite ou d'échec.",Individuals certified or seeking certification as exposure device operators.,Personnes accréditées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.,,,,,"The CNSC certifies exposure device operators based on education, training and experience. This database tracks all the candidates' information on certification.","La CCSN accrédite les opérateurs d'appareils d'exposition en se basant sur leurs études, leur formation et leur expérience. Cette base de données centralise toute l'information pertinente relative à l'accréditation des candidats.",No consistent uses have been identified.,Aucun usage compatible déterminé.,Records are retained for 60 years. Paper and electronic copies of the information stored as a subset of this bank are retained for two years before they are transferred to classified waste.,"Les dossiers sont conservés pendant 60 ans. Les copies papier et électroniques qui sont un sous-ensemble du fichier sont conservées pendant deux ans, après quoi elles sont transférées aux rebuts classifiés.",2015/009,2015/009,"CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4","CCSN 1.1.2, CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4",,,005095,005095
CNSC PPU 060,Academic and research sector,Secteur universitaire et de recherche,CNSC PPU 060,CCSN PPU 060,"This bank maintains a record of the personal information and certification results for all candidates certified or seeking certification as exposure device operators, and those previously certified as qualified operators. Data includes names and addresses of individuals, titles of examinations written and results (in terms of success or failure).","Ce fichier contient l'information personnelle et les résultats d'accréditation pour tous les candidats accrédités ou cherchant à être accrédités en tant qu'opérateurs d'appareils d'exposition, ainsi que pour les personnes qui ont déjà été accréditées comme opérateurs qualifiés. Les données comprennent les noms et adresses des personnes, les titres des examens subis et leurs résultats en termes de réussite ou d'échec.",Individuals certified or seeking certification as exposure device operators.,Personnes accréditées ou qui demandent une accréditation en tant qu'opérateurs d'appareil d'exposition.,,,,,"The CNSC certifies exposure device operators based on education, training and experience. This database tracks all the candidates' information on certification.","La CCSN accrédite les opérateurs d'appareils d'exposition en se basant sur leurs études, leur formation et leur expérience. Cette base de données centralise toute l'information pertinente relative à l'accréditation des candidats.",No consistent uses have been identified.,Aucun usage compatible déterminé.,Records are retained for 60 years. Paper and electronic copies of the information stored as a subset of this bank are retained for two years before they are transferred to classified waste.,"Les dossiers sont conservés pendant 60 ans. Les copies papier et électroniques qui sont un sous-ensemble du fichier sont conservées pendant deux ans, après quoi elles sont transférées aux rebuts classifiés.",2015/009,2015/009,"CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4","CCSN 1.1.2, CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4",,,005095,005095
CNSC PPU 015,,,CNSC PPU 015,CCSN PPU 015,"This bank maintains a record of the examinations given to personnel at nuclear reactor facilities. Data includes names of individuals, titles of examinations written and results (in terms of success or failure).","Ce fichier contient le relevé des examens subis par le personnel aux installations dotées de réacteurs nucléaires. Les données comprennent les noms des personnes, les titres des examens subis et leurs résultats (réussite ou échec).",Employees at Class I facilities (nuclear generating stations and non-power facilities).,Employés des installations nucléaires de catégorie I (centrales nucléaires et installations non productrices de puissance),,,,,The CNSC sets these examinations to ensure that the requirements for operating personnel are met.,La CCSN prépare ces examens pour s'assurer que les exigences concernant le personnel d'exploitation sont respectées.,No consistent uses have been identified.,Aucun usage compatible déterminé,Records are retained for 60 years.,Les dossiers sont conservés pendant 60 ans.,2015/009,2015/009,"CNSC 1.1.2, CNSC 1.1.3, CNSC 1.2.1, CNSC 1.2.2, CNSC 1.3.1, CNSC 1.3.2, CNSC 1.3.3, CNSC 1.3.4","CCSN 1.1.2, CCSN 1.1.3, CCSN 1.2.1, CCSN 1.2.2, CCSN 1.3.1, CCSN 1.3.2, CCSN 1.3.3, CCSN 1.3.4",,,004123,004123
CNSC PPU 020,Reactor Operators and Training,,CNSC PPU 020,CCSN PPU 020,"Data in this bank includes a record of correspondence, details of education and experience, and basic personal information.","Ce fichier contient un dossier de la correspondance, des détails sur la scolarité et l'expérience des employés, ainsi que des renseignements personnels de base.",Employees at reactor sites.,Employés qui travaillent à un emplacement nucléaire.,,,,,The purpose of the bank is to provide an accurate and up-to-date record of all information on authorizations and appointments of individuals to designated positions at nuclear generating stations and research reactor sites.,Ce fichier permet d'obtenir un relevé précis et à jour de toutes les autorisations et de toutes les nominations à des postes désignés dans des centrales nucléaires et aux endroits où il y a des réacteurs de recherche.,No consistent uses have been identified.,Aucun usage compatible déterminé,Records are retained for 60.,Les dossiers sont conservés pendant 60 ans.,2015/009,2015/009,"CNSC 1.1.2, CNSC 1.2.1, CNSC 1.2.2","CCSN 1.1.2, CCSN 1.2.1, CCSN 1.2.2",,,004124,004124
CNSC PPU 020,,,CNSC PPU 020,,"Data in this bank includes a record of correspondence, details of education and experience, and basic personal information.",,Employees at reactor sites.,,,,,,The purpose of the bank is to provide an accurate and up-to-date record of all information on authorizations and appointments of individuals to designated positions at nuclear generating stations and research reactor sites.,,No consistent uses have been identified.,,Records are retained for 60 years.,,2015/009,,"CNSC 1.1.2, CNSC 1.2.1, CNSC 1.2.2",,,,004124,
